epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3165,2.23646,4.04013,1.26821,0.68357,0.07474,0.06494,0.03661,2.10865,2.91792,1.12805,0.000194202,0.000194202,0.000194202
2,27.795,2.18884,2.94049,1.1379,0.6239,0.1066,0.10171,0.05872,2.03174,2.34055,1.09274,0.000386983,0.000386983,0.000386983
3,40.6493,2.16387,2.49917,1.11317,0.61408,0.13754,0.13361,0.0758,1.95203,2.09105,1.08906,0.00057653,0.00057653,0.00057653
4,53.5407,2.05594,2.2753,1.09742,0.58549,0.17017,0.13522,0.07506,1.90324,1.96626,1.07979,0.000573447,0.000573447,0.000573447
5,66.1984,2.00277,2.08809,1.08318,0.46579,0.18636,0.16314,0.09632,1.83848,1.79174,1.06785,0.000568596,0.000568596,0.000568596
6,79.2917,1.96335,1.98741,1.07445,0.57785,0.22606,0.18257,0.10979,1.82217,1.7225,1.0529,0.000563745,0.000563745,0.000563745
7,91.8874,1.92648,1.92831,1.07151,0.51992,0.2786,0.22372,0.1365,1.80852,1.68146,1.04971,0.000558894,0.000558894,0.000558894
8,105.481,1.9212,1.85046,1.05362,0.6059,0.28088,0.25973,0.16696,1.773,1.6314,1.04361,0.000554043,0.000554043,0.000554043
9,118.58,1.91286,1.81943,1.05702,0.60226,0.30658,0.27312,0.17321,1.74553,1.57734,1.03985,0.000549192,0.000549192,0.000549192
10,131.696,1.865,1.75995,1.04462,0.58976,0.32155,0.28116,0.17951,1.7904,1.57904,1.04039,0.000544341,0.000544341,0.000544341
11,144.586,1.80644,1.68499,1.03734,0.62396,0.30341,0.3048,0.20003,1.72902,1.54153,1.03049,0.00053949,0.00053949,0.00053949
12,157.562,1.82027,1.68035,1.03503,0.45894,0.3532,0.33356,0.21223,1.74275,1.48368,1.03124,0.000534639,0.000534639,0.000534639
13,170.225,1.80508,1.64458,1.03174,0.5094,0.35404,0.33491,0.22384,1.69709,1.46231,1.02255,0.000529788,0.000529788,0.000529788
14,183.485,1.82274,1.63068,1.03059,0.68696,0.35176,0.38931,0.26639,1.72188,1.43727,1.03215,0.000524937,0.000524937,0.000524937
15,196.012,1.77463,1.59037,1.01835,0.46753,0.38929,0.37461,0.25212,1.68128,1.41373,1.01584,0.000520086,0.000520086,0.000520086
16,208.514,1.76985,1.57346,1.02326,0.40799,0.44722,0.41404,0.28541,1.67005,1.3874,1.01196,0.000515235,0.000515235,0.000515235
17,220.696,1.7516,1.53867,1.01472,0.61101,0.40812,0.41924,0.28505,1.65869,1.40851,1.00815,0.000510384,0.000510384,0.000510384
18,233.214,1.74057,1.52828,1.01249,0.47606,0.42703,0.42803,0.29665,1.65802,1.36699,1.00699,0.000505533,0.000505533,0.000505533
19,246.199,1.78029,1.51338,1.01282,0.50025,0.43477,0.42227,0.28892,1.63984,1.3741,1.00411,0.000500682,0.000500682,0.000500682
20,258.008,1.73158,1.47036,1.01408,0.51087,0.45874,0.45331,0.30511,1.68479,1.37087,1.00763,0.000495831,0.000495831,0.000495831
21,270.29,1.72023,1.47354,1.00395,0.48858,0.44565,0.4411,0.30703,1.64294,1.32697,0.99809,0.00049098,0.00049098,0.00049098
22,282.572,1.74152,1.453,1.00218,0.51063,0.46856,0.46183,0.31979,1.6162,1.31326,0.99931,0.000486129,0.000486129,0.000486129
23,295.157,1.7316,1.43732,1.0071,0.50847,0.49959,0.49319,0.34896,1.60392,1.28686,0.99721,0.000481278,0.000481278,0.000481278
24,307.337,1.71158,1.43053,1.00404,0.64103,0.4554,0.48673,0.33129,1.62535,1.31176,1.00075,0.000476427,0.000476427,0.000476427
25,319.253,1.69341,1.39681,0.9952,0.53418,0.51105,0.52193,0.36739,1.59564,1.26971,0.98873,0.000471576,0.000471576,0.000471576
26,330.883,1.7059,1.38886,0.99943,0.63279,0.48895,0.52152,0.37073,1.61654,1.28429,0.98783,0.000466725,0.000466725,0.000466725
27,343.046,1.68285,1.36303,0.99266,0.50651,0.53603,0.52659,0.37111,1.5969,1.24874,0.98682,0.000461874,0.000461874,0.000461874
28,355.358,1.67996,1.35106,0.99015,0.64536,0.48553,0.53105,0.36642,1.62907,1.24636,0.99217,0.000457023,0.000457023,0.000457023
29,367.415,1.6848,1.35359,0.99071,0.63472,0.48833,0.54449,0.3865,1.57382,1.21954,0.98835,0.000452172,0.000452172,0.000452172
30,379.231,1.66487,1.3225,0.98784,0.61775,0.53406,0.55895,0.3879,1.58541,1.20691,0.98729,0.000447321,0.000447321,0.000447321
31,391.199,1.65746,1.30581,0.98653,0.64417,0.53119,0.56694,0.39572,1.59996,1.2058,0.98358,0.00044247,0.00044247,0.00044247
32,403.583,1.65774,1.29348,0.97782,0.63372,0.55315,0.57781,0.40596,1.57226,1.17958,0.98048,0.000437619,0.000437619,0.000437619
33,415.114,1.62509,1.27251,0.97911,0.6489,0.53437,0.57233,0.39929,1.57296,1.17247,0.98008,0.000432768,0.000432768,0.000432768
34,427.078,1.65397,1.28251,0.98218,0.6246,0.55827,0.57707,0.41067,1.55464,1.18101,0.97962,0.000427917,0.000427917,0.000427917
35,438.817,1.6193,1.27203,0.98097,0.58936,0.55851,0.58382,0.4136,1.5654,1.17765,0.97786,0.000423066,0.000423066,0.000423066
36,450.69,1.64185,1.26184,0.97473,0.6317,0.56591,0.59427,0.41058,1.55683,1.15067,0.97857,0.000418215,0.000418215,0.000418215
37,462.386,1.61483,1.24611,0.9731,0.65827,0.57088,0.59602,0.41904,1.56862,1.13829,0.97969,0.000413364,0.000413364,0.000413364
38,474.551,1.61427,1.22453,0.97799,0.67475,0.57085,0.61265,0.42506,1.55696,1.13061,0.9701,0.000408513,0.000408513,0.000408513
39,486.661,1.59531,1.22073,0.97074,0.68421,0.56529,0.62482,0.44304,1.5341,1.10525,0.97128,0.000403662,0.000403662,0.000403662
40,498.905,1.60509,1.21785,0.9706,0.69266,0.56444,0.60464,0.43676,1.5282,1.11269,0.97043,0.000398811,0.000398811,0.000398811
41,510.549,1.5913,1.19522,0.97348,0.70025,0.55128,0.61309,0.42953,1.54571,1.12033,0.97026,0.00039396,0.00039396,0.00039396
42,522.376,1.59881,1.19826,0.97169,0.72364,0.56196,0.62364,0.44579,1.52558,1.11217,0.97199,0.000389109,0.000389109,0.000389109
43,534.422,1.58053,1.1871,0.97052,0.69173,0.58682,0.63643,0.45659,1.5234,1.08188,0.97187,0.000384258,0.000384258,0.000384258
44,546.179,1.61193,1.21093,0.9687,0.68034,0.58788,0.63603,0.44263,1.57118,1.11729,0.9793,0.000379407,0.000379407,0.000379407
45,557.983,1.59803,1.19081,0.96895,0.69584,0.59771,0.64458,0.46056,1.50974,1.08723,0.96654,0.000374556,0.000374556,0.000374556
46,570.077,1.59894,1.18087,0.96268,0.68165,0.62311,0.65202,0.4621,1.52698,1.08991,0.96947,0.000369705,0.000369705,0.000369705
47,581.68,1.58434,1.17097,0.96541,0.68381,0.62153,0.64507,0.45697,1.51446,1.07083,0.96118,0.000364854,0.000364854,0.000364854
48,594.381,1.54964,1.14674,0.95362,0.71039,0.60063,0.64924,0.46321,1.49398,1.08001,0.96087,0.000360003,0.000360003,0.000360003
49,606.497,1.58111,1.16206,0.96625,0.72485,0.59234,0.65323,0.46736,1.50588,1.06774,0.96372,0.000355152,0.000355152,0.000355152
50,618.426,1.57463,1.13992,0.96281,0.74527,0.61245,0.66901,0.48,1.49267,1.05789,0.95862,0.000350301,0.000350301,0.000350301
51,630.188,1.5805,1.15134,0.95997,0.71779,0.62391,0.66729,0.47196,1.51576,1.05309,0.96261,0.00034545,0.00034545,0.00034545
52,641.967,1.55359,1.13444,0.95143,0.78227,0.59988,0.67878,0.49307,1.49259,1.0462,0.96237,0.000340599,0.000340599,0.000340599
53,653.714,1.56988,1.13269,0.95839,0.74323,0.61121,0.67222,0.47843,1.49817,1.0389,0.95712,0.000335748,0.000335748,0.000335748
54,665.45,1.56525,1.11599,0.95895,0.76621,0.59936,0.67903,0.49183,1.49724,1.03695,0.9568,0.000330897,0.000330897,0.000330897
55,676.733,1.56009,1.11218,0.96199,0.76406,0.62048,0.67537,0.49116,1.49476,1.02875,0.95817,0.000326046,0.000326046,0.000326046
56,688.644,1.53093,1.09139,0.95293,0.74763,0.63443,0.69263,0.50004,1.50219,1.01985,0.96032,0.000321195,0.000321195,0.000321195
57,700.382,1.56772,1.11431,0.95787,0.76328,0.61396,0.68067,0.4889,1.49102,1.04039,0.95963,0.000316344,0.000316344,0.000316344
58,712.028,1.52285,1.094,0.94569,0.73299,0.6353,0.67983,0.48828,1.50232,1.014,0.96024,0.000311493,0.000311493,0.000311493
59,723.791,1.53769,1.08786,0.95493,0.73926,0.64322,0.70166,0.50262,1.49556,1.02194,0.9593,0.000306642,0.000306642,0.000306642
60,735.483,1.53543,1.08747,0.95112,0.74582,0.63746,0.68919,0.50112,1.47412,1.00743,0.95174,0.000301791,0.000301791,0.000301791
61,747.345,1.52161,1.0752,0.95062,0.72267,0.63751,0.6861,0.49331,1.46743,0.99381,0.95294,0.00029694,0.00029694,0.00029694
62,759.455,1.5465,1.07998,0.95308,0.72462,0.6513,0.68507,0.49483,1.49393,1.00756,0.95906,0.000292089,0.000292089,0.000292089
63,771.291,1.52833,1.07096,0.94863,0.75859,0.65949,0.71041,0.51735,1.46263,0.98944,0.95321,0.000287238,0.000287238,0.000287238
64,782.859,1.5103,1.05797,0.94463,0.78824,0.65039,0.71209,0.51622,1.46261,0.98357,0.95044,0.000282387,0.000282387,0.000282387
65,794.821,1.53743,1.07285,0.95094,0.80497,0.63796,0.7126,0.51847,1.47251,0.98498,0.95564,0.000277536,0.000277536,0.000277536
66,806.817,1.49877,1.05245,0.94518,0.76166,0.66261,0.71922,0.51428,1.50814,0.99561,0.95778,0.000272685,0.000272685,0.000272685
67,818.686,1.4936,1.03786,0.94389,0.76882,0.6457,0.70868,0.51662,1.45895,0.97441,0.95184,0.000267834,0.000267834,0.000267834
68,830.803,1.51707,1.05033,0.94225,0.77958,0.65077,0.71197,0.51695,1.45991,0.9613,0.95017,0.000262983,0.000262983,0.000262983
69,842.42,1.49915,1.03156,0.94526,0.75639,0.64142,0.71084,0.51172,1.47265,0.98795,0.95347,0.000258132,0.000258132,0.000258132
70,854.648,1.50556,1.05319,0.94195,0.77037,0.66396,0.71568,0.52239,1.45344,0.97754,0.94897,0.000253281,0.000253281,0.000253281
71,866.556,1.48044,1.02494,0.93779,0.79623,0.65879,0.71816,0.52397,1.46499,0.96257,0.9516,0.00024843,0.00024843,0.00024843
72,878.325,1.48859,1.02433,0.9421,0.79146,0.6653,0.72989,0.52753,1.46315,0.95638,0.94816,0.000243579,0.000243579,0.000243579
73,890.124,1.50156,1.03155,0.93888,0.77257,0.66737,0.72317,0.52684,1.45308,0.95994,0.94613,0.000238728,0.000238728,0.000238728
74,902.101,1.4795,1.00623,0.939,0.81526,0.66341,0.73196,0.53499,1.44589,0.94955,0.94664,0.000233877,0.000233877,0.000233877
75,914.094,1.48434,1.01861,0.942,0.80609,0.65832,0.73036,0.53143,1.46377,0.95029,0.95074,0.000229026,0.000229026,0.000229026
76,925.967,1.48103,1.01249,0.94019,0.80423,0.66444,0.73388,0.53671,1.43815,0.94244,0.94399,0.000224175,0.000224175,0.000224175
77,938.058,1.50629,1.02123,0.9389,0.78514,0.67545,0.73138,0.53159,1.44407,0.94789,0.94494,0.000219324,0.000219324,0.000219324
78,950.136,1.49701,1.0116,0.94351,0.78881,0.66535,0.72434,0.5321,1.43496,0.93855,0.94266,0.000214473,0.000214473,0.000214473
79,961.743,1.49304,1.01465,0.93498,0.80322,0.65643,0.73364,0.53643,1.43431,0.937,0.94352,0.000209622,0.000209622,0.000209622
80,973.297,1.48799,1.00107,0.93928,0.77268,0.6865,0.74156,0.54257,1.4289,0.92673,0.94078,0.000204771,0.000204771,0.000204771
81,985.085,1.49002,1.00815,0.93619,0.77492,0.69077,0.73989,0.54097,1.43387,0.93752,0.94277,0.00019992,0.00019992,0.00019992
82,996.396,1.5004,1.01609,0.94212,0.77512,0.67079,0.72945,0.53778,1.43861,0.94129,0.94379,0.000195069,0.000195069,0.000195069
83,1008.09,1.50743,1.00886,0.94161,0.8042,0.66738,0.73983,0.53866,1.43767,0.93673,0.94324,0.000190218,0.000190218,0.000190218
84,1020.03,1.48976,0.99158,0.9378,0.80045,0.67272,0.72961,0.53434,1.43911,0.93289,0.94365,0.000185367,0.000185367,0.000185367
85,1032.19,1.48322,0.99257,0.93792,0.80349,0.69053,0.74803,0.54893,1.43409,0.92637,0.94041,0.000180516,0.000180516,0.000180516
86,1043.78,1.46726,0.98449,0.93829,0.78967,0.68781,0.73877,0.54255,1.42607,0.92009,0.94085,0.000175665,0.000175665,0.000175665
87,1055.66,1.45888,0.976,0.93297,0.77334,0.6985,0.74332,0.54496,1.43603,0.91884,0.94231,0.000170814,0.000170814,0.000170814
88,1067.53,1.50209,1.01012,0.93734,0.77281,0.69762,0.74442,0.54792,1.43106,0.92374,0.94332,0.000165963,0.000165963,0.000165963
89,1079.14,1.45523,0.96772,0.93423,0.79584,0.68666,0.74403,0.54459,1.43644,0.92093,0.94064,0.000161112,0.000161112,0.000161112
90,1090.66,1.46248,0.9724,0.9308,0.78544,0.70621,0.75095,0.55301,1.44076,0.91327,0.94341,0.000156261,0.000156261,0.000156261
91,1102.36,1.47072,0.97858,0.93467,0.80147,0.70187,0.75273,0.55132,1.42551,0.90579,0.94001,0.00015141,0.00015141,0.00015141
92,1114.45,1.45274,0.97546,0.93528,0.80303,0.69459,0.74991,0.55098,1.42067,0.90236,0.93998,0.000146559,0.000146559,0.000146559
93,1126.5,1.44804,0.95931,0.93202,0.82855,0.69284,0.75231,0.54944,1.43166,0.90814,0.93945,0.000141708,0.000141708,0.000141708
94,1138.76,1.46296,0.97212,0.92778,0.8268,0.69845,0.75644,0.55467,1.41463,0.89981,0.93722,0.000136857,0.000136857,0.000136857
95,1150.66,1.45235,0.95875,0.93142,0.80926,0.70991,0.76051,0.56191,1.40626,0.89578,0.93591,0.000132006,0.000132006,0.000132006
96,1162.79,1.42593,0.95672,0.93138,0.83288,0.69044,0.75593,0.5564,1.40323,0.89071,0.93397,0.000127155,0.000127155,0.000127155
97,1175.27,1.45142,0.96619,0.92982,0.79426,0.7158,0.75892,0.55798,1.4198,0.90452,0.9368,0.000122304,0.000122304,0.000122304
98,1187.38,1.44061,0.95496,0.92577,0.81686,0.70634,0.76245,0.56265,1.41857,0.89334,0.93762,0.000117453,0.000117453,0.000117453
99,1199.84,1.44182,0.95159,0.92438,0.83442,0.69854,0.76244,0.56039,1.41692,0.8926,0.93727,0.000112602,0.000112602,0.000112602
100,1212.2,1.45671,0.96036,0.92822,0.82623,0.70041,0.75271,0.55801,1.4087,0.89357,0.9345,0.000107751,0.000107751,0.000107751
101,1225.22,1.43274,0.9423,0.92764,0.81134,0.70716,0.76313,0.55922,1.42763,0.89693,0.93766,0.0001029,0.0001029,0.0001029
102,1238.01,1.45241,0.95279,0.9288,0.82291,0.71454,0.76387,0.56569,1.40352,0.89147,0.93341,9.8049e-05,9.8049e-05,9.8049e-05
103,1250.14,1.42101,0.94448,0.92399,0.84655,0.69491,0.76578,0.56567,1.40446,0.88389,0.93466,9.3198e-05,9.3198e-05,9.3198e-05
104,1262.05,1.41347,0.95088,0.92234,0.83364,0.70838,0.77042,0.56809,1.40447,0.88121,0.93621,8.8347e-05,8.8347e-05,8.8347e-05
105,1274.29,1.45023,0.95084,0.92596,0.81872,0.70285,0.76303,0.56169,1.41232,0.88412,0.93597,8.3496e-05,8.3496e-05,8.3496e-05
106,1286.43,1.43153,0.94576,0.91995,0.80142,0.72013,0.7701,0.56894,1.40989,0.88002,0.93587,7.8645e-05,7.8645e-05,7.8645e-05
107,1298.56,1.42538,0.93532,0.92505,0.79609,0.71555,0.76541,0.56383,1.40779,0.87679,0.93455,7.3794e-05,7.3794e-05,7.3794e-05
108,1310.48,1.42236,0.93799,0.92379,0.80943,0.71336,0.76562,0.56404,1.40976,0.87673,0.93552,6.8943e-05,6.8943e-05,6.8943e-05
109,1322.79,1.43938,0.93649,0.92313,0.80732,0.71675,0.77169,0.56907,1.39621,0.87329,0.93388,6.4092e-05,6.4092e-05,6.4092e-05
110,1334.94,1.41517,0.9298,0.92037,0.81485,0.72335,0.77261,0.5705,1.40084,0.87163,0.93397,5.9241e-05,5.9241e-05,5.9241e-05
111,1345.57,1.45074,0.97659,0.92895,0.80508,0.70126,0.75109,0.54571,1.42795,0.90628,0.9415,5.439e-05,5.439e-05,5.439e-05
112,1355.48,1.42423,0.94224,0.92441,0.81919,0.69446,0.75824,0.55239,1.43019,0.90689,0.94073,4.9539e-05,4.9539e-05,4.9539e-05
113,1365.44,1.45133,0.94766,0.92974,0.8022,0.70492,0.75849,0.55527,1.42295,0.9018,0.93939,4.4688e-05,4.4688e-05,4.4688e-05
114,1375.43,1.43511,0.94309,0.92648,0.80533,0.70453,0.7603,0.55748,1.4111,0.89287,0.93712,3.9837e-05,3.9837e-05,3.9837e-05
115,1385.38,1.43109,0.93259,0.92792,0.81361,0.70529,0.76072,0.55732,1.41294,0.89091,0.93668,3.4986e-05,3.4986e-05,3.4986e-05
116,1395.17,1.42591,0.9319,0.92654,0.81771,0.69929,0.7613,0.56054,1.4111,0.88665,0.93634,3.0135e-05,3.0135e-05,3.0135e-05
117,1405.09,1.40841,0.9188,0.9241,0.80939,0.70571,0.7638,0.56197,1.40821,0.88593,0.93509,2.5284e-05,2.5284e-05,2.5284e-05
118,1414.98,1.40872,0.91488,0.92306,0.82155,0.7059,0.76239,0.55899,1.41207,0.88526,0.93644,2.0433e-05,2.0433e-05,2.0433e-05
119,1424.84,1.41432,0.92278,0.92677,0.81904,0.70574,0.76337,0.56313,1.40301,0.87934,0.9347,1.5582e-05,1.5582e-05,1.5582e-05
