epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1967,2.24371,4.02445,1.2687,0.694,0.06524,0.06682,0.03675,2.14987,2.95404,1.13209,0.000194559,0.000194559,0.000194559
2,26.0047,2.18753,2.93217,1.13924,0.49028,0.11565,0.09204,0.05061,2.04699,2.30768,1.08726,0.000385726,0.000385726,0.000385726
3,37.6898,2.14368,2.50264,1.11186,0.66529,0.14081,0.13185,0.07612,1.96082,2.12442,1.07739,0.000572041,0.000572041,0.000572041
4,49.8732,2.05796,2.27347,1.09737,0.50619,0.17615,0.13397,0.07751,1.90842,1.92025,1.06141,0.000566171,0.000566171,0.000566171
5,62.215,1.99621,2.08292,1.08516,0.61574,0.20333,0.16298,0.09531,1.86093,1.78989,1.05626,0.000558894,0.000558894,0.000558894
6,75.3386,2.01086,2.03289,1.08615,0.49437,0.25046,0.20572,0.1231,1.84856,1.74377,1.05907,0.000551617,0.000551617,0.000551617
7,87.719,1.9536,1.93909,1.06987,0.59095,0.25526,0.21786,0.13104,1.81114,1.7048,1.04764,0.000544341,0.000544341,0.000544341
8,99.8791,1.87685,1.84769,1.05565,0.56507,0.30616,0.25633,0.16453,1.81362,1.65792,1.0402,0.000537064,0.000537064,0.000537064
9,111.882,1.88766,1.81131,1.06186,0.55731,0.31113,0.26731,0.16994,1.80451,1.6125,1.0271,0.000529788,0.000529788,0.000529788
10,124.322,1.89082,1.78638,1.04831,0.62005,0.29605,0.30132,0.19304,1.79635,1.57108,1.02905,0.000522511,0.000522511,0.000522511
11,136.34,1.85966,1.7379,1.04902,0.63995,0.30899,0.32166,0.21755,1.74857,1.54383,1.0237,0.000515235,0.000515235,0.000515235
12,148.468,1.86237,1.71721,1.03981,0.6248,0.33385,0.32781,0.21405,1.74119,1.50963,1.02477,0.000507959,0.000507959,0.000507959
13,160.381,1.82742,1.6604,1.03607,0.60829,0.33612,0.34484,0.23234,1.76001,1.49663,1.02415,0.000500682,0.000500682,0.000500682
14,172.62,1.82605,1.65959,1.03425,0.55642,0.34978,0.35152,0.23375,1.74983,1.49455,1.02062,0.000493405,0.000493405,0.000493405
15,184.464,1.81085,1.64667,1.02821,0.49085,0.38342,0.39008,0.26004,1.7055,1.43707,1.01294,0.000486129,0.000486129,0.000486129
16,196.493,1.80016,1.60241,1.023,0.45127,0.39079,0.41271,0.28468,1.68862,1.4137,1.00979,0.000478852,0.000478852,0.000478852
17,207.97,1.76887,1.56873,1.02706,0.54905,0.39468,0.40942,0.27342,1.74748,1.43601,1.01523,0.000471576,0.000471576,0.000471576
18,220.169,1.77745,1.56503,1.01099,0.61533,0.39866,0.43765,0.29533,1.67608,1.39223,1.00257,0.0004643,0.0004643,0.0004643
19,231.932,1.77777,1.52233,1.0192,0.48578,0.4661,0.44481,0.30281,1.6738,1.38264,0.99955,0.000457023,0.000457023,0.000457023
20,243.678,1.75921,1.52044,1.01279,0.52884,0.43288,0.43983,0.29259,1.70074,1.40323,1.00059,0.000449746,0.000449746,0.000449746
21,254.967,1.73975,1.48974,1.01376,0.5065,0.44862,0.46179,0.3096,1.69125,1.36343,1.00487,0.00044247,0.00044247,0.00044247
22,266.678,1.72933,1.4832,1.00616,0.51741,0.47055,0.47958,0.33076,1.64397,1.31059,0.99588,0.000435194,0.000435194,0.000435194
23,279.008,1.71563,1.46353,1.00937,0.45934,0.51311,0.47989,0.33331,1.63233,1.34537,0.99783,0.000427917,0.000427917,0.000427917
24,290.367,1.71379,1.45885,1.00752,0.64574,0.44786,0.48377,0.33128,1.65776,1.31188,0.99812,0.00042064,0.00042064,0.00042064
25,302.137,1.72271,1.42116,1.00277,0.56877,0.44199,0.49086,0.33744,1.65126,1.29518,0.99349,0.000413364,0.000413364,0.000413364
26,313.781,1.69941,1.39383,1.00109,0.52432,0.50794,0.4935,0.34553,1.62154,1.29368,0.98977,0.000406088,0.000406088,0.000406088
27,325.279,1.69915,1.39008,0.99407,0.60197,0.48254,0.51132,0.36189,1.60113,1.30163,0.98803,0.000398811,0.000398811,0.000398811
28,336.648,1.6912,1.39741,1.00088,0.54687,0.49485,0.52696,0.37075,1.62023,1.27805,0.9862,0.000391534,0.000391534,0.000391534
29,348.186,1.69914,1.38581,0.99617,0.57421,0.52159,0.53222,0.37663,1.60547,1.25583,0.98622,0.000384258,0.000384258,0.000384258
