epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,507.544,1.59386,1.19522,0.97158,0.69478,0.59674,0.63893,0.45798,1.54087,1.10218,0.97762,0.000411208,0.000411208,0.000411208
43,519.031,1.60105,1.19583,0.97509,0.68018,0.5857,0.63019,0.44829,1.55361,1.08588,0.97614,0.000406896,0.000406896,0.000406896
44,530.622,1.60504,1.20196,0.96782,0.71941,0.58611,0.6514,0.46072,1.54707,1.10232,0.97044,0.000402584,0.000402584,0.000402584
45,542.137,1.59098,1.18458,0.96688,0.73075,0.58785,0.64222,0.4598,1.52253,1.09297,0.96834,0.000398272,0.000398272,0.000398272
46,554.001,1.59019,1.17689,0.96233,0.73536,0.58435,0.65291,0.46926,1.51658,1.06931,0.96752,0.00039396,0.00039396,0.00039396
47,565.675,1.58466,1.17053,0.96448,0.71585,0.58593,0.64263,0.45258,1.55008,1.10504,0.96944,0.000389648,0.000389648,0.000389648
48,577.977,1.55249,1.15262,0.95353,0.67672,0.60755,0.6525,0.45933,1.50345,1.10244,0.96194,0.000385336,0.000385336,0.000385336
49,589.793,1.58337,1.16357,0.96722,0.70162,0.6209,0.6629,0.47736,1.52124,1.05496,0.96775,0.000381024,0.000381024,0.000381024
50,601.664,1.57979,1.13869,0.96354,0.73649,0.62935,0.671,0.47686,1.51821,1.0564,0.96394,0.000376712,0.000376712,0.000376712
51,613.634,1.58267,1.15153,0.9605,0.75119,0.60608,0.66576,0.46755,1.53411,1.05727,0.96618,0.0003724,0.0003724,0.0003724
52,625.631,1.55987,1.13086,0.95306,0.73006,0.60071,0.6584,0.47875,1.4953,1.06959,0.96432,0.000368088,0.000368088,0.000368088
53,637.18,1.57,1.1284,0.95824,0.72661,0.62597,0.67182,0.47786,1.50672,1.03851,0.95978,0.000363776,0.000363776,0.000363776
54,648.988,1.56584,1.1117,0.95875,0.80024,0.61157,0.6807,0.49272,1.49357,1.02962,0.95583,0.000359464,0.000359464,0.000359464
55,660.382,1.55703,1.108,0.96158,0.78381,0.61304,0.67546,0.48577,1.50473,1.03915,0.95756,0.000355152,0.000355152,0.000355152
56,671.965,1.5318,1.08724,0.95189,0.75391,0.62811,0.68721,0.49317,1.49864,1.02457,0.95965,0.00035084,0.00035084,0.00035084
57,683.789,1.56743,1.10892,0.95824,0.73648,0.62815,0.6851,0.49445,1.49061,1.03045,0.95961,0.000346528,0.000346528,0.000346528
58,695.53,1.52309,1.0897,0.94723,0.72399,0.63426,0.67835,0.48382,1.52863,1.03008,0.96665,0.000342216,0.000342216,0.000342216
59,707.208,1.53971,1.08428,0.95628,0.69906,0.6559,0.69417,0.49883,1.49025,1.02388,0.95585,0.000337904,0.000337904,0.000337904
60,719.174,1.53322,1.08721,0.95054,0.78804,0.63393,0.7046,0.50986,1.48093,1.00508,0.95251,0.000333592,0.000333592,0.000333592
61,731.127,1.52386,1.07372,0.95205,0.77578,0.6407,0.69767,0.50581,1.46728,0.99364,0.95154,0.00032928,0.00032928,0.00032928
62,742.945,1.5522,1.08141,0.95374,0.7411,0.63872,0.68912,0.49763,1.49596,1.01287,0.95796,0.000324968,0.000324968,0.000324968
63,755.509,1.53408,1.07153,0.95018,0.77989,0.63937,0.70742,0.5157,1.46325,0.9823,0.95193,0.000320656,0.000320656,0.000320656
64,767.339,1.5072,1.05544,0.94376,0.78353,0.64507,0.71229,0.5178,1.46237,0.98435,0.9491,0.000316344,0.000316344,0.000316344
65,779.213,1.54334,1.07024,0.95249,0.80712,0.63039,0.71028,0.51381,1.47289,0.98968,0.95257,0.000312032,0.000312032,0.000312032
66,791.367,1.49988,1.04926,0.94585,0.805,0.61952,0.7042,0.50436,1.49169,1.00444,0.95378,0.00030772,0.00030772,0.00030772
67,803.069,1.49422,1.03493,0.94378,0.77866,0.63719,0.70613,0.51507,1.46498,0.98917,0.95106,0.000303408,0.000303408,0.000303408
68,815.071,1.51418,1.04693,0.94231,0.8182,0.6402,0.71272,0.52471,1.45971,0.96309,0.94949,0.000299096,0.000299096,0.000299096
