epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8573,2.21011,4.0975,1.26137,0.75714,0.07216,0.06068,0.03326,2.15217,3.13907,1.13356,0.000193846,0.000193846,0.000193846
2,23.1121,2.19241,2.96719,1.12582,0.64597,0.10711,0.09116,0.05138,2.08904,2.42209,1.09111,0.000385987,0.000385987,0.000385987
3,33.7183,2.15164,2.53258,1.10325,0.6589,0.12534,0.11789,0.06533,1.98691,2.1547,1.07989,0.000574246,0.000574246,0.000574246
4,44.5505,2.06614,2.23399,1.08836,0.50735,0.17145,0.15033,0.08818,1.94544,1.93363,1.07109,0.000570536,0.000570536,0.000570536
5,55.8699,2.04391,2.10818,1.07344,0.34875,0.19252,0.15037,0.08976,1.89811,1.81789,1.05796,0.000564715,0.000564715,0.000564715
6,67.5512,1.98461,1.97923,1.06777,0.4563,0.23036,0.1789,0.10623,1.87255,1.75166,1.04382,0.000558894,0.000558894,0.000558894
7,78.6496,1.97207,1.92,1.06043,0.5077,0.28702,0.21886,0.13418,1.82644,1.67656,1.03932,0.000553073,0.000553073,0.000553073
8,89.9937,1.91746,1.81688,1.04208,0.52689,0.31582,0.24618,0.15178,1.82956,1.65019,1.03676,0.000547252,0.000547252,0.000547252
9,101.302,1.88785,1.78096,1.03534,0.52797,0.29581,0.25594,0.16195,1.79197,1.58759,1.03271,0.00054143,0.00054143,0.00054143
10,112.468,1.88783,1.74495,1.03666,0.60876,0.28879,0.27672,0.17327,1.76203,1.57961,1.02923,0.000535609,0.000535609,0.000535609
11,123.376,1.86428,1.73325,1.03845,0.47563,0.3073,0.30887,0.19903,1.76547,1.54205,1.02235,0.000529788,0.000529788,0.000529788
12,134.402,1.84443,1.66506,1.02393,0.54364,0.31596,0.32898,0.21345,1.78588,1.5245,1.02539,0.000523967,0.000523967,0.000523967
13,144.847,1.82311,1.64127,1.02414,0.59398,0.34531,0.35153,0.23302,1.76639,1.48634,1.01977,0.000518146,0.000518146,0.000518146
14,155.906,1.82074,1.63459,1.01939,0.66946,0.31664,0.35756,0.23829,1.70044,1.46402,1.01593,0.000512324,0.000512324,0.000512324
15,166.523,1.80741,1.57801,1.01836,0.59659,0.31104,0.35761,0.23938,1.74184,1.46577,1.0087,0.000506503,0.000506503,0.000506503
16,177.708,1.83578,1.58751,1.01882,0.5195,0.36356,0.37905,0.2511,1.75176,1.43164,1.01686,0.000500682,0.000500682,0.000500682
17,188.131,1.76349,1.52857,1.02097,0.39858,0.3718,0.37385,0.25603,1.68412,1.40164,1.01553,0.000494861,0.000494861,0.000494861
18,198.278,1.75779,1.52567,1.00027,0.59443,0.40644,0.41718,0.2815,1.66401,1.38145,0.99672,0.00048904,0.00048904,0.00048904
19,208.66,1.76594,1.49934,1.00016,0.56474,0.43007,0.42994,0.28998,1.66604,1.35567,0.99921,0.000483218,0.000483218,0.000483218
20,218.961,1.73802,1.46848,1.00161,0.5468,0.41903,0.42339,0.28801,1.65923,1.37393,0.99847,0.000477397,0.000477397,0.000477397
21,229.544,1.72267,1.45176,1.00007,0.56414,0.41095,0.45273,0.3112,1.62945,1.33448,0.99382,0.000471576,0.000471576,0.000471576
22,240.216,1.74689,1.44612,0.9967,0.51088,0.44146,0.45943,0.31039,1.65669,1.31917,0.99435,0.000465755,0.000465755,0.000465755
23,250.541,1.71561,1.41025,0.99763,0.59121,0.446,0.47804,0.3309,1.62098,1.25909,0.98894,0.000459934,0.000459934,0.000459934
24,261.038,1.70886,1.41506,0.99872,0.55041,0.45194,0.46673,0.32256,1.62339,1.32631,0.98834,0.000454112,0.000454112,0.000454112
25,271.468,1.68315,1.36875,0.9815,0.52917,0.48974,0.49356,0.33991,1.62827,1.24809,0.98625,0.000448291,0.000448291,0.000448291
26,281.52,1.67222,1.37689,0.98555,0.57634,0.48474,0.50321,0.34899,1.60488,1.25127,0.98314,0.00044247,0.00044247,0.00044247
27,291.596,1.65053,1.33579,0.97962,0.56776,0.51732,0.52203,0.36345,1.6177,1.24122,0.98146,0.000436649,0.000436649,0.000436649
28,301.839,1.68363,1.35283,0.98433,0.50921,0.52611,0.515,0.3595,1.58543,1.21563,0.97605,0.000430828,0.000430828,0.000430828
29,312.299,1.68337,1.33144,0.98775,0.58526,0.5328,0.54049,0.37377,1.60507,1.20479,0.97951,0.000425006,0.000425006,0.000425006
30,322.381,1.65792,1.30675,0.98237,0.59001,0.53468,0.54459,0.37582,1.60952,1.22595,0.98025,0.000419185,0.000419185,0.000419185
31,332.614,1.65712,1.29862,0.98009,0.55158,0.53308,0.54121,0.37046,1.59436,1.21713,0.97512,0.000413364,0.000413364,0.000413364
32,343.038,1.6755,1.29675,0.97822,0.55825,0.55857,0.55981,0.38499,1.57684,1.19569,0.97578,0.000407543,0.000407543,0.000407543
33,352.822,1.63325,1.27776,0.9774,0.61774,0.54359,0.55429,0.38634,1.62685,1.18567,0.98136,0.000401722,0.000401722,0.000401722
34,362.763,1.67893,1.28651,0.97824,0.6163,0.53956,0.55049,0.38717,1.56392,1.18188,0.97059,0.0003959,0.0003959,0.0003959
35,373.132,1.62452,1.25901,0.97327,0.55271,0.55054,0.55986,0.38529,1.59861,1.18025,0.97546,0.000390079,0.000390079,0.000390079
36,383.315,1.64959,1.2648,0.97227,0.64982,0.51829,0.55794,0.39208,1.54676,1.14783,0.97239,0.000384258,0.000384258,0.000384258
37,393.366,1.60065,1.22772,0.96245,0.637,0.53987,0.57723,0.39304,1.57326,1.1546,0.97345,0.000378437,0.000378437,0.000378437
38,403.411,1.61624,1.22504,0.96953,0.64191,0.56649,0.59049,0.4106,1.57925,1.14062,0.97177,0.000372616,0.000372616,0.000372616
39,413.911,1.62785,1.21967,0.97049,0.63578,0.52912,0.58417,0.40877,1.54599,1.13751,0.96494,0.000366794,0.000366794,0.000366794
40,424.026,1.6181,1.21809,0.96219,0.6313,0.5882,0.59978,0.42183,1.54311,1.11178,0.96792,0.000360973,0.000360973,0.000360973
41,434.123,1.59132,1.19164,0.96039,0.6646,0.57795,0.60431,0.42006,1.5613,1.11423,0.96574,0.000355152,0.000355152,0.000355152
42,443.962,1.62648,1.21184,0.96521,0.65623,0.60416,0.62636,0.44513,1.5252,1.08201,0.96226,0.000349331,0.000349331,0.000349331
43,453.892,1.59057,1.19184,0.96176,0.63041,0.57871,0.59986,0.41922,1.56517,1.11029,0.96691,0.00034351,0.00034351,0.00034351
44,464.075,1.62867,1.2104,0.96693,0.69368,0.56572,0.61967,0.43879,1.52585,1.09472,0.95884,0.000337688,0.000337688,0.000337688
45,473.996,1.57333,1.17874,0.95715,0.64661,0.58738,0.61918,0.43928,1.53414,1.09047,0.96235,0.000331867,0.000331867,0.000331867
46,484.251,1.59854,1.16257,0.96276,0.70133,0.56904,0.62628,0.43599,1.54081,1.08053,0.96381,0.000326046,0.000326046,0.000326046
47,494.285,1.582,1.16058,0.9501,0.6992,0.57618,0.62293,0.44406,1.5206,1.07856,0.95865,0.000320225,0.000320225,0.000320225
48,504.645,1.59201,1.16725,0.95715,0.69057,0.574,0.6096,0.41501,1.56699,1.12952,0.96688,0.000314404,0.000314404,0.000314404
49,514.541,1.5597,1.14646,0.95757,0.72467,0.58918,0.64844,0.45985,1.50625,1.07291,0.95666,0.000308582,0.000308582,0.000308582
50,524.809,1.57318,1.14452,0.9584,0.66959,0.59936,0.63262,0.44485,1.51428,1.08097,0.95551,0.000302761,0.000302761,0.000302761
